ID,Marca,Cliente,Zona,Latitud,Longitud,Estado,Imagen_URL
CDSMXN25061020,CASHDRO S,WOOLWORTH,Pacifico,31.2899263,-110.9398595,Sonora,logos/cashdros.png
CDSMXN25061601,CASHDRO S,WOOLWORTH,Pacifico,29.0775057,-110.9533646,Sonora,logos/cashdros.png
CDSMXN25061605,CASHDRO S,WOOLWORTH,Pacifico,29.0348235,-110.9402828,Sonora,logos/cashdros.png
CDSMXN25061612,CASHDRO S,WOOLWORTH,Pacifico,27.4902269,-109.9336982,Sonora,logos/cashdros.png
CDSMXN25061608,CASHDRO S,WOOLWORTH,Pacifico,29.1459619,-110.9928537,Sonora,logos/cashdros.png
CDSMXN25061602,CASHDRO S,WOOLWORTH,Pacifico,29.0775057,-110.9533646,Sonora,logos/cashdros.png
CDSMXN25061613,CASHDRO S,WOOLWORTH,Pacifico,27.4659621,-109.9134532,Sonora,logos/cashdros.png
CDSMXN25061603,CASHDRO S,WOOLWORTH,Pacifico,27.9233534,-110.8949156,Sonora,logos/cashdros.png
CDSMXN25061606,CASHDRO S,WOOLWORTH,Pacifico,29.0348235,-110.9402828,Sonora,logos/cashdros.png
CDSMXN25061614,CASHDRO S,WOOLWORTH,Pacifico,27.4659621,-109.9134532,Sonora,logos/cashdros.png
CDSMXN25061616,CASHDRO S,WOOLWORTH,Pacifico,27.4659621,-109.9134532,Sonora,logos/cashdros.png
CDSMXN25061607,CASHDRO S,WOOLWORTH,Pacifico,29.1459619,-110.9928537,Sonora,logos/cashdros.png
CDSMXN25061615,CASHDRO S,WOOLWORTH,Pacifico,27.4659621,-109.9134532,Sonora,logos/cashdros.png
CDSMXN25061604,CASHDRO S,WOOLWORTH,Pacifico,27.9233534,-110.8949156,Sonora,logos/cashdros.png
CDSMXN25061610,CASHDRO S,WOOLWORTH,Pacifico,27.0773881,-109.4501674,Sonora,logos/cashdros.png
